title,stream,description,required_skills,min_education,salary_range,type,difficulty,market_demand
IP Patent Lawyer,Law,"Specialize in drafting technology utility specs and responding to patent registry office queries to analyze, design, and optimize systems while collaborating with cross-functional teams.",Patent Law;Intellectual Property;Technical Writing;Legal Research;IP Filing,Undergraduate (LLB/BA-LLB) + B.Sc,₹450000 - ₹1800000,Private Sector,Hard,High
Environmental Policy Analyst,Law,"Specialize in drafting carbon guidelines proposals and analyzing tribunal forest filings reports to analyze, design, and optimize systems while collaborating with cross-functional teams.",Environmental Law;NGT Rules;Public Policy;Legal Writing;Research,Undergraduate (LLB/BA-LLB),₹350000 - ₹1100000,NGO / Public Sector,Hard,Growing
Cyber Regulations Advisor,Law,"Specialize in assessing website data collection cookies compliance with regional privacy laws to analyze, design, and optimize systems while collaborating with cross-functional teams.",IT Act;Data Privacy Laws;Digital Evidence;Compliance;Contract Drafting,Undergraduate (LLB/BA-LLB),₹400000 - ₹1500000,Private Sector,Hard,High
Labour Law Consultant,Commerce/Management,"Specialize in advising factory owners on payroll overtime rules and employee unions mediation to analyze, design, and optimize systems while collaborating with cross-functional teams.",Labour Laws;Arbitration;Industrial Relations;Compliance;Legal Drafting,Undergraduate (LLB/BA-LLB),₹300000 - ₹900000,Private Sector,Medium,Stable
Tax Law Advisor,Law,"Specialize in assessing corporate income structures to identify legal tax loopholes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Taxation Laws;Corporate Law;Financial Auditing;Legal Research;Excel,Undergraduate (LLB/BA-LLB) / CA,₹450000 - ₹1800000,Private Sector,Hard,Stable
Human Rights Advocate,Law,"Specialize in submitting civil freedom petitions to courts and coordinating NGO support cases to analyze, design, and optimize systems while collaborating with cross-functional teams.",Constitutional Law;Legal Advocacy;Public Speaking;Humanitarian Law;Legal Writing,Undergraduate (LLB/BA-LLB),₹250000 - ₹800000,NGO / Public Sector,Hard,Stable
Arbitrator Mediator,Law,"Specialize in settling commercial dispute arguments outside courtrooms by listening to both sides to analyze, design, and optimize systems while collaborating with cross-functional teams.",Mediation;Conflict Resolution;Contract Law;Active Listening;Negotiation,Undergraduate (LLB/BA-LLB) + Certification,₹400000 - ₹1600000,Private Sector,Medium,Stable
Legal Compliance Executive,Law,"Specialize in auditing operations procedures to verify alignment with regional business laws to analyze, design, and optimize systems while collaborating with cross-functional teams.",Compliance;Corporate Law;Auditing Basics;Report Writing;Risk Assessment,Undergraduate (LLB/BA-LLB),₹350000 - ₹1100000,Private Sector,Medium,High
Paralegal Assistant,Law,"Specialize in searching old case law files summaries and indexing client documents directories to analyze, design, and optimize systems while collaborating with cross-functional teams.",Legal Research;Document Indexing;Legal Transcription;Excel;Case Formatting,Undergraduate (B.A. Law/LLB),₹200000 - ₹600000,Private Sector,Easy,Stable
Judicial Law Clerk,Law,"Specialize in assisting supreme court judges in compiling legal precedents research notes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Legal Writing;Precedent Research;Constitutional Law;Analytical Thinking;Court Procedures,Undergraduate (LLB/BA-LLB),₹300000 - ₹700000,Government Sector,Hard,Stable
Legal Reporter Journalist,Law,"Specialize in summarizing daily court room debate records for newspaper publications to analyze, design, and optimize systems while collaborating with cross-functional teams.",Legal Writing;Journalism;Court Procedures;Interviews;Editing,Undergraduate (LLB/Journalism),₹250000 - ₹700000,Private Sector,Easy,Stable
Contract Draftsman,Law,"Specialize in writing NDA agreements vendor terms lists and checking legal penalty clauses to analyze, design, and optimize systems while collaborating with cross-functional teams.",Contract Drafting;Corporate Law;Due Diligence;Legal Research;Word Processing,Undergraduate (LLB/BA-LLB),₹300000 - ₹950000,Private Sector,Medium,Stable
Notary Public Official,Law,"Specialize in attesting citizen contract papers sign validations and administering oaths to analyze, design, and optimize systems while collaborating with cross-functional teams.",Document Attestation;Verification;Legal Procedures;Customer Relations;Record Keeping,Undergraduate (LLB) + License,₹200000 - ₹500000,Government Sector,Easy,Stable
Legal Editor Analyst,Law,"Specialize in correcting text grammar rules in academic case laws reference textbooks to analyze, design, and optimize systems while collaborating with cross-functional teams.",Proofreading;Legal Research;Citation Formats;Editing;Legal Writing,Undergraduate (LLB/BA-LLB),₹250000 - ₹750000,Private Sector,Easy,Stable
Contract Specialist,Law,"Specialize in negotiating vendor procurement terms and verifying liability limits contracts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Contract Management;Negotiation;Risk Assessment;Corporate Law;Legal Drafting,Undergraduate (LLB/BBA),₹350000 - ₹1100000,Private Sector,Medium,High
IP Portfolio Coordinator,Law,"Specialize in monitoring annual trademark renewal dates and logging pending filings to analyze, design, and optimize systems while collaborating with cross-functional teams.",Trademark Law;Database Tracking;Legal Correspondence;IP Filing;Excel,Undergraduate (LLB/B.A),₹300000 - ₹900000,Private Sector,Medium,Stable
Admiralty Law Consultant,Law,"Specialize in settling marine shipping cargo damage disputes and insurance claims to analyze, design, and optimize systems while collaborating with cross-functional teams.",Maritime Law;Contract Law;Insurance Claims;Legal Writing;Negotiation,Undergraduate (LLB/BA-LLB),₹450000 - ₹1500000,Private Sector,Hard,Stable
General Practitioner Doctor,Medical/Pharmacy,"Specialize in diagnosing general viral fevers, checking patient blood pressures, and prescribing pills to analyze, design, and optimize systems while collaborating with cross-functional teams.",Clinical Diagnosis;Patient Care;Internal Medicine;First Aid;Pharmacology,Undergraduate (MBBS),₹800000 - ₹2400000,Private Sector,Hard,High
Pediatrician Doctor,Medical/Pharmacy,"Specialize in treating toddler viral infections and monitoring infant growth charts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Pediatrics;Clinical Diagnosis;Child Healthcare;Communication;Patient Care,MBBS + MD (Pediatrics),₹1000000 - ₹2800000,Private Sector,Hard,High
General Surgeon,Medical/Pharmacy,"Specialize in performing minor appendicitis removals and stitching operating tissue incisions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Surgery;Anatomy;Suture Techniques;Clinical Diagnosis;Patient Care,MBBS + MS (Surgery),₹1200000 - ₹3600000,Private Sector,Hard,High
Dermatologist,Medical/Pharmacy,"Specialize in diagnosing skin rashes, acne scarring, and writing custom skin creams recipes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Dermatology;Clinical Diagnosis;Skin Treatments;Pharmacology;Patient Care,MBBS + MD (Dermatology),₹900000 - ₹2600000,Private Sector,Hard,High
Psychiatrist Doctor,Medical/Pharmacy,"Specialize in diagnosing clinical depression trends and prescribing nerve system control drugs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Psychiatry;Clinical Diagnosis;Therapeutics;Active Listening;Pharmacology,MBBS + MD (Psychiatry),₹800000 - ₹2500000,Private Sector,Hard,High
Dental Practitioner,Medical/Pharmacy,"Specialize in drilling tooth cavities, filling silver amalgams, and extracting wisdom teeth to analyze, design, and optimize systems while collaborating with cross-functional teams.",Dentistry;Tooth Restorations;Oral Diagnosis;Patient Care;Hygiene Standards,Undergraduate (BDS),₹300000 - ₹1000000,Private Sector,Hard,Stable
Industrial Pharmacist,Medical/Pharmacy,"Specialize in overseeing capsule coating machines and checking chemical purity batches to analyze, design, and optimize systems while collaborating with cross-functional teams.",Pharmaceutical Chemistry;GMP Guidelines;Quality Control;Chemical Synthesis;Lab Safety,Undergraduate (B.Pharm),₹300000 - ₹850000,Private Sector,Medium,Stable
Clinical Pharmacovigilance Analyst,Medical/Pharmacy,"Specialize in logging post-market drug side effects into global safety databases to analyze, design, and optimize systems while collaborating with cross-functional teams.",Pharmacovigilance;Medical Coding (MedDRA);Drug Safety;Database Logging;Pharmacology,Undergraduate (B.Pharm) / Pharm.D,₹300000 - ₹900000,Private Sector,Medium,Stable
Drug Regulatory Executive,Medical/Pharmacy,"Specialize in compiling chemical test dossier folders to submit to government licenses to analyze, design, and optimize systems while collaborating with cross-functional teams.",Regulatory Affairs;GMP Guidelines;Medical Writing;Licensing Laws;Dossier Prep,Undergraduate (B.Pharm/M.Pharm),₹350000 - ₹1000000,Private Sector,Medium,Stable
Staff Nurse Practitioner,Medical/Pharmacy,"Specialize in monitoring hospital ward patients drips and administering pills schedules to analyze, design, and optimize systems while collaborating with cross-functional teams.",Nursing Care;IV Cannulation;Vitals Checking;First Aid;Patient Communication,Undergraduate (B.Sc Nursing),₹250000 - ₹700000,Private Sector,Medium,High
Occupational Therapist,Medical/Pharmacy,"Specialize in guiding disabled patients through daily tasks exercises to regain motor control to analyze, design, and optimize systems while collaborating with cross-functional teams.",Occupational Therapy;Anatomy;Rehabilitation Exercises;Active Listening;Patient Care,Undergraduate (BOT),₹250000 - ₹800000,Private Sector,Medium,Growing
Speech Language Pathologist,Medical/Pharmacy,"Specialize in coaching children with stuttering issues to pronounce words vowels correctly to analyze, design, and optimize systems while collaborating with cross-functional teams.",Speech Therapy;Phonetics;Linguistics Basics;Patient Care;Active Listening,Undergraduate (BASLP),₹250000 - ₹800000,Private Sector,Medium,Growing
Radiology Lab Technician,Medical/Pharmacy,"Specialize in operating X-ray scanning tunnels and compiling raw brain scans sheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Radiology Tech;MRI/CT Scanning;Radiation Safety;Image Logging;Anatomy,Undergraduate (B.Sc Imaging / Diploma),₹200000 - ₹650000,Private Sector,Medium,Stable
Clinical Trials Coordinator,Medical/Pharmacy,"Specialize in scheduling patient blood checks dates and auditing hospital drug trials to analyze, design, and optimize systems while collaborating with cross-functional teams.",Clinical Trials;GCP Guidelines;Data Management;Patient Safety;Ethics Audits,Undergraduate (B.Pharm/B.Sc),₹300000 - ₹900000,Private Sector,Medium,Growing
Nutrition Diet Consultant,Medical/Pharmacy,"Specialize in designing balanced calorie weight loss food charts for diabetes patients to analyze, design, and optimize systems while collaborating with cross-functional teams.",Dietetics;Nutrition Science;Calorie Planning;Meal Strategy;Communication,Undergraduate (B.Sc Nutrition),₹200000 - ₹700000,Private Sector,Easy,Growing
Lab Chemistry Technician,Medical/Pharmacy,"Specialize in mixing blood chemicals reagents to complete lipid profile lab charts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Clinical Chemistry;Hematology;Pipetting;Lab Safety;Data Logging,Undergraduate (B.Sc MLT),₹200000 - ₹550000,Private Sector,Easy,Stable
Cardiac Lab Specialist,Medical/Pharmacy,"Specialize in operating electrocardiograph heart rate monitors and logging results sheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",ECG Interpretation;Cardiovascular Tech;Patient Safety;Vitals Checking;Anatomy,Undergraduate (B.Sc Cardiac Tech),₹300000 - ₹900000,Private Sector,Hard,Stable
Optometry Care Consultant,Medical/Pharmacy,"Specialize in using lenses grids boards to measure patient eye refraction values to analyze, design, and optimize systems while collaborating with cross-functional teams.",Optometry;Refraction Testing;Lens Fitting;Eye Diagnostics;Customer Service,Undergraduate (B.Optom),₹250000 - ₹800000,Private Sector,Medium,Stable
Medical Writing Analyst,Medical/Pharmacy,"Specialize in writing technical summary summaries of drug trial effects for journals to analyze, design, and optimize systems while collaborating with cross-functional teams.",Medical Writing;Clinical Data;Research Methodology;Scientific Formatting;Editing,Undergraduate (B.Pharm/B.Sc),₹300000 - ₹900000,Private Sector,Medium,Stable
Health Informatics Specialist,Medical/Pharmacy,"Specialize in managing electronic health record databases configuration and user permissions to analyze, design, and optimize systems while collaborating with cross-functional teams.",EHR Systems;SQL;Data Security;Healthcare Systems;Information Analytics,Undergraduate (B.Sc/BCA),₹350000 - ₹1000000,Private Sector,Medium,Stable
Hospital Operations Specialist,Medical/Pharmacy,"Specialize in auditing ward cleanup schedules and pricing bills accounts lists to analyze, design, and optimize systems while collaborating with cross-functional teams.",Healthcare Administration;Operations;Billing Systems;Regulatory Auditing;Staff Scheduling,Undergraduate (BHA/BBA),₹300000 - ₹950000,Private Sector,Medium,Growing
Biotech R&D Assistant,Medical/Pharmacy,"Specialize in culturing yeast cell lines and testing vaccine sample reactions to analyze, design, and optimize systems while collaborating with cross-functional teams.",Cell Culturing;Pipetting;Recombinant DNA;Lab Safety;Spectroscopy,Undergraduate (B.Sc Biotech),₹250000 - ₹800000,Private Sector,Hard,Growing
Primary School Teacher,Education/Humanities,"Specialize in teaching alphabet basics spelling rules and grading kids homework sheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Lesson Planning;Child Psychology;Classroom Management;Creative Teaching;Evaluation,Undergraduate (B.Ed / D.El.Ed),₹200000 - ₹600000,Private Sector,Easy,Stable
Special Needs Educator,Education/Humanities,"Specialize in coaching dyslexic children using customized tactile letter boards block shapes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Special Education;Individualized Education Program (IEP);Patience;Tactile Teaching;Child Care,Undergraduate (B.Ed Special Ed),₹250000 - ₹750000,Private Sector,Medium,Stable
Student Support Counselor,Education/Humanities,"Specialize in listening to student stress problems and scheduling study calendars to analyze, design, and optimize systems while collaborating with cross-functional teams.",Counseling;Child Psychology;Active Listening;Crisis Intervention;Interpersonal Skills,Undergraduate (B.A. Psychology),₹250000 - ₹750000,Private Sector,Medium,Stable
Educational Designer,Education/Humanities,"Specialize in writing textbook script outlines and drafting learning objective quizzes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Curriculum Design;Content Development;Educational Theory;Subject Matter Expertise;Storyboarding,Undergraduate + B.Ed,₹300000 - ₹900000,Private Sector,Medium,Stable
E-Learning Specialist,Education/Humanities,"Specialize in uploading PDF files and creating user quiz templates on online platforms to analyze, design, and optimize systems while collaborating with cross-functional teams.",LMS (Moodle/Canvas);Instructional Design;Multimedia Integration;HTML;Analytical Thinking,Undergraduate (B.A/BCA/B.Ed),₹350000 - ₹1000000,Private Sector,Medium,Stable
Academic Librarian,Education/Humanities,"Specialize in indexing books Dewey codes cataloguing files folders and checking book issues to analyze, design, and optimize systems while collaborating with cross-functional teams.",Library Management;Cataloguing;Database Indexing;Customer Service;Archive Maintenance,Undergraduate (B.Lib.Sc),₹200000 - ₹650000,Government Sector,Easy,Stable
Historical Archivist,Education/Humanities,"Specialize in restoring old paper scrolls documents and writing database text summaries to analyze, design, and optimize systems while collaborating with cross-functional teams.",Archive Conservation;Cataloguing;Historical Research;Paleography;Document Scanning,Postgraduate (M.A. History),₹250000 - ₹800000,Government Sector,Medium,Stable
Museum Gallery Curator,Education/Humanities,"Specialize in arranging historic coin displays writing descriptive tags labels on cases to analyze, design, and optimize systems while collaborating with cross-functional teams.",Curatorial Studies;Art History;Exhibition Planning;Historical Research;Public Speaking,Postgraduate (M.A. History/Fine Arts),₹300000 - ₹950000,Government Sector,Medium,Stable
Sociology Field Researcher,Education/Humanities,"Specialize in asking questionnaire details door-to-door to compile poverty logs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Sociological Research;Survey Design;Data Coding;Interviewing;Report Writing,Undergraduate (B.A. Sociology),₹200000 - ₹650000,NGO / Public Sector,Easy,Stable
Cultural Anthropologist,Education/Humanities,"Specialize in visiting tribal settlements to photograph custom weave fabrics patterns to analyze, design, and optimize systems while collaborating with cross-functional teams.",Ethnography;Cultural Analysis;Field Methods;Photography;Research Writing,Postgraduate (M.A. Anthropology),₹250000 - ₹800000,NGO / Public Sector,Hard,Stable
Political Analyst,Education/Humanities,"Specialize in comparing voting trends charts to write election forecasts articles to analyze, design, and optimize systems while collaborating with cross-functional teams.",Political Science;Policy Analysis;Statistics;Report Writing;Public Speaking,Undergraduate (B.A. Pol Sci),₹300000 - ₹900000,Private Sector,Medium,Stable
Public Policy Consultant,Education/Humanities,"Specialize in evaluating municipal budget spend files to draft public policy reports to analyze, design, and optimize systems while collaborating with cross-functional teams.",Policy Analysis;Report Writing;Economics Basics;Case Analysis;Stakeholder Relations,Undergraduate (B.A. Economics/Pol Sci),₹350000 - ₹1100000,NGO / Public Sector,Medium,Stable
Economic Analyst,Commerce/Management,"Specialize in running regression models to calculate wholesale price index inflation changes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Economics;Statistical Modeling;Excel;Data Analysis;Econometrics,Undergraduate (B.A. Economics),₹350000 - ₹1200000,Private Sector,Hard,Growing
Language Translator,Education/Humanities,"Specialize in translating legal document files or book texts from English to Hindi to analyze, design, and optimize systems while collaborating with cross-functional teams.",Translation;Bilingual Proficiency;Copy Editing;Proofreading;Vocabulary,Undergraduate (B.A. Languages),₹200000 - ₹750000,Private Sector,Easy,Stable
Technical Manual Writer,Education/Humanities,"Specialize in writing software setup guides and troubleshooting step instructions sheets to analyze, design, and optimize systems while collaborating with cross-functional teams.",Technical Writing;Software Documentation;Markdown;Jira;Editing,Undergraduate (B.A. English/B.Sc),₹300000 - ₹1000000,Private Sector,Medium,High
Copy Editor,Education/Humanities,"Specialize in correcting spelling grammar rules in publisher book files drafts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Proofreading;Grammar Proficiency;Style Manuals (Chicago/APA);Word Processing;Editing,Undergraduate (B.A. English),₹200000 - ₹700000,Private Sector,Easy,Stable
News Reporter,Education/Humanities,"Specialize in interviewing local city block officials and writing crime event reports to analyze, design, and optimize systems while collaborating with cross-functional teams.",Journalism;News Writing;Interviews;Public Speaking;Investigative Research,Undergraduate (BJMC),₹200000 - ₹800000,Private Sector,Easy,Stable
Public Relations Advisor,Commerce/Management,"Specialize in arranging corporate media interviews and writing press release notes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Media Relations;Crisis Communication;Press Releases;Copywriting;Interpersonal Skills,Undergraduate (BJMC/BBA),₹300000 - ₹1000000,Private Sector,Easy,Stable
Content Editor,Education/Humanities,"Specialize in reviewing blog article drafts and matching layout styling guidelines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Copy Editing;SEO Basics;WordPress;Proofreading;Content Strategy,Undergraduate (B.A. English/Humanities),₹250000 - ₹800000,Private Sector,Easy,Stable
Public Archivist Assistant,Education/Humanities,"Specialize in indexing old municipal record book pages and scanning file pictures to analyze, design, and optimize systems while collaborating with cross-functional teams.",Document Scanning;Metadata Logging;Archive Maintenance;Excel;Library Basics,Undergraduate/Diploma,₹150000 - ₹500000,Government Sector,Easy,Stable
Social Work Program Lead,Education/Humanities,"Specialize in arranging checkup dates and food allocations at local shelter homes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Social Work;Community Mobilization;Crisis Counseling;Report Writing;First Aid,Undergraduate (BSW),₹200000 - ₹650000,NGO / Public Sector,Easy,Stable
NGO Grants Coordinator,Commerce/Management,"Specialize in compiling charity spends audit files to write grants applications proposals to analyze, design, and optimize systems while collaborating with cross-functional teams.",Grant Writing;Budget Reporting;NGO Operations;Donor Relations;Excel,Undergraduate (B.A/B.Com/BBA),₹250000 - ₹800000,NGO / Public Sector,Medium,Stable
Resort Manager,Hotel Management/Vocational,"Specialize in arranging room check-in keys calendars guest lists and restaurant menus to analyze, design, and optimize systems while collaborating with cross-functional teams.",Hospitality;Customer Relations;Operations;Staff Scheduling;Budgeting,Undergraduate (BHM),₹350000 - ₹1100000,Private Sector,Medium,Growing
Front Desk Coordinator,Hotel Management/Vocational,"Specialize in answering hotel phone calls queries and checking key booking details to analyze, design, and optimize systems while collaborating with cross-functional teams.",Customer Service;EHR Systems;Billing;Communication;Conflict Resolution,Undergraduate/Diploma (BHM),₹200000 - ₹600000,Private Sector,Easy,Stable
Banquet Service Lead,Hotel Management/Vocational,"Specialize in setting dining table grids layouts and scheduling serving staff shifts to analyze, design, and optimize systems while collaborating with cross-functional teams.",Banquet Management;Customer Relations;Catering Operations;Staff Scheduling;Event Planning,Undergraduate/Diploma (BHM),₹250000 - ₹800000,Private Sector,Easy,Stable
Pastry Chef,Hotel Management/Vocational,"Specialize in baking sponge cakes whipping cream fillings and decorating icing designs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Baking Science;Plating;Kitchen Safety;Recipe Measurement;Pastry Art,Undergraduate/Diploma (Culinary),₹250000 - ₹950000,Private Sector,Medium,Growing
Kitchen Sous Chef,Hotel Management/Vocational,"Specialize in prepping raw vegetables slicing meat cubes and directing cooking cooks to analyze, design, and optimize systems while collaborating with cross-functional teams.",Culinary Arts;Kitchen Operations;Food Hygiene (HACCP);Knife Skills;Plating,Undergraduate/Diploma (Culinary),₹250000 - ₹1000000,Private Sector,Medium,Growing
F&B Beverage Lead,Hotel Management/Vocational,"Specialize in designing mocktail drink recipes list and tracking soda inventories to analyze, design, and optimize systems while collaborating with cross-functional teams.",Beverage Service;Bar Operations;Mixology Basics;Inventory Control;Customer Service,Undergraduate/Diploma (BHM),₹200000 - ₹750000,Private Sector,Easy,Stable
Sommelier Wine Advisor,Hotel Management/Vocational,"Specialize in tasting wine bottles and recommending grape matches to restaurant guests to analyze, design, and optimize systems while collaborating with cross-functional teams.",Wine Tasting;Food Pairing;Cellar Management;Customer Service;Sales,Undergraduate/Diploma + Sommelier Cert,₹350000 - ₹1200000,Private Sector,Medium,Stable
Event Logistics Coordinator,Hotel Management/Vocational,"Specialize in booking audio speakers decorators arrays and scheduling wedding timelines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Event Management;Vendor Negotiation;Budgeting;Customer Relations;Operations,Undergraduate/Diploma,₹250000 - ₹850000,Private Sector,Easy,High
Travel Booking Consultant,Hotel Management/Vocational,"Specialize in finding cheap flight tickets and planning vacation tour dates to analyze, design, and optimize systems while collaborating with cross-functional teams.",Ticketing Systems (Amadeus);Destination Knowledge;Customer Service;Sales;B2C Communication,Undergraduate/Diploma,₹200000 - ₹700000,Private Sector,Easy,Stable
Local Tour Guide,Hotel Management/Vocational,"Specialize in escorting tourists to old temple ruins and explaining historical logs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Public Speaking;First Aid;Local History;Customer Service;Interpersonal Skills,Higher Secondary / Diploma,₹150000 - ₹500000,Private Sector,Easy,Stable
Flight Cabin Attendant,Hotel Management/Vocational,"Specialize in doing pre-takeoff safety demonstrations and serving airplane food trays to analyze, design, and optimize systems while collaborating with cross-functional teams.",Cabin Safety;First Aid;Customer Relations;Grooming;Conflict Resolution,Higher Secondary + Attendant Cert,₹300000 - ₹1000000,Private Sector,Easy,Stable
Assistant Restaurant Manager,Hotel Management/Vocational,"Specialize in counting cash till balances and checking kitchen cleanup files to analyze, design, and optimize systems while collaborating with cross-functional teams.",Restaurant Operations;Billing Systems;Staff Scheduling;Customer Service;Inventory Control,Undergraduate/Diploma (BHM),₹250000 - ₹800000,Private Sector,Easy,Stable
Corporate Caterer Manager,Hotel Management/Vocational,"Specialize in planning large food containers transport arrays for factory workers lunch to analyze, design, and optimize systems while collaborating with cross-functional teams.",Mass Catering;Food Hygiene;Logistics;Menu Planning;Budgeting,Undergraduate/Diploma (BHM),₹300000 - ₹900000,Private Sector,Medium,Stable
Gym Fitness Coach,Hotel Management/Vocational,"Specialize in designing dumbbell workout lists and demonstrating correct squat posture to analyze, design, and optimize systems while collaborating with cross-functional teams.",Exercise Physiology;Weight Training;Nutrition Basics;Client Coaching;CPR/First Aid,Higher Secondary + Fitness Trainer Cert,₹180000 - ₹600000,Private Sector,Easy,Growing
Yoga Practice Coach,Hotel Management/Vocational,"Specialize in demonstrating balance stretches breathing rules and leading group classes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Yoga Asanas;Pranayama;Anatomy Basics;Meditation;Client Instruction,Higher Secondary + Yoga Teacher Cert,₹180000 - ₹600000,Private Sector,Easy,Growing
Hairstyle Designer,Hotel Management/Vocational,"Specialize in washing hair layers styling scissor cuts and doing dye highlights to analyze, design, and optimize systems while collaborating with cross-functional teams.",Hair Cutting;Coloring Techniques;Salon Hygiene;Client Consultation;Cosmetic Chemistry,Higher Secondary + Cosmetology Diploma,₹150000 - ₹650000,Private Sector,Easy,Stable
Makeup Stylist,Design/Arts,"Specialize in blending face makeup foundations styling shadows and contour skin highlights to analyze, design, and optimize systems while collaborating with cross-functional teams.",Makeup Artistry;Color Theory;Skin Assessment;Cosmetic Hygiene;Customer Service,Higher Secondary + Makeup Diploma,₹150000 - ₹700000,Private Sector,Easy,Stable
Therapeutic Masseuse,Hotel Management/Vocational,"Specialize in applying herbal massage oil rubs to soothe patient muscle knots to analyze, design, and optimize systems while collaborating with cross-functional teams.",Anatomy Basics;Massage Techniques (Swedish/Deep Tissue);Spa Ethics;Customer Service;Hygiene,Higher Secondary + Massage License,₹180000 - ₹600000,Private Sector,Easy,Stable
Spa Operations Director,Hotel Management/Vocational,"Specialize in ordering scented oil inventories and scheduling therapy room slots to analyze, design, and optimize systems while collaborating with cross-functional teams.",Spa Management;Customer Relations;Inventory Control;Staff Scheduling;Billing Systems,Undergraduate/Diploma,₹250000 - ₹850000,Private Sector,Easy,Stable
Maintenance Plumber,Hotel Management/Vocational,"Specialize in unscrewing leaking iron pipe joints and clearing toilet drain blockages to analyze, design, and optimize systems while collaborating with cross-functional teams.",Pipe Fitting;Blueprint Reading;Drainage Systems;Troubleshooting;Tool Safety,Vocational Training / ITI,₹150000 - ₹450000,Private Sector,Medium,Stable
HVAC Tech Repairer,Hotel Management/Vocational,"Specialize in recharging cooling gas compressors and repairing air duct blower fans to analyze, design, and optimize systems while collaborating with cross-functional teams.",AC Repair;Refrigeration Cycles;Electrical Troubleshooting;Wiring Diagrams;Safety,Vocational Training / ITI,₹180000 - ₹500000,Private Sector,Medium,Stable
Domestic Appliance Installer,Hotel Management/Vocational,"Specialize in mounting flat television units wall brackets and connecting washing pipe lines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Appliance Setup;Electrical Wiring;Troubleshooting;Customer Service;Tool Safety,Vocational Training / ITI,₹150000 - ₹450000,Private Sector,Easy,Stable
Soil Chemist Specialist,Agriculture/Science,"Specialize in measuring soil nitrogen chemical values to define fertilizer recipes to analyze, design, and optimize systems while collaborating with cross-functional teams.",Soil Science;Analytical Chemistry;Spectroscopy;Agricultural Chemistry;Lab Safety,Undergraduate (B.Sc Agriculture),₹300000 - ₹800000,Private Sector,Medium,Stable
Horticulture Florist,Agriculture/Science,"Specialize in pruning greenhouse rose saplings and checking soil moisture systems to analyze, design, and optimize systems while collaborating with cross-functional teams.",Plant Propagation;Greenhouse Operations;Pest Control;Soil Irrigation;Floriculture,Undergraduate (B.Sc Agriculture/Botany),₹250000 - ₹750000,Private Sector,Easy,Stable
Floriculture Specialist,Agriculture/Science,"Specialize in designing flower bed patterns and managing commercial flower export shipments to analyze, design, and optimize systems while collaborating with cross-functional teams.",Flower Breeding;Pest Management;Cold Chain Logistics;Greenhouse Control;Sales,Undergraduate (B.Sc),₹250000 - ₹800000,Private Sector,Easy,Stable
Livestock Breeder,Agriculture/Science,"Specialize in monitoring animal health logs and managing dairy cow pedigree lines to analyze, design, and optimize systems while collaborating with cross-functional teams.",Animal Breeding;Veterinary Basics;Nutrition Planning;Farming Software;Record Keeping,Undergraduate (B.Sc Animal Science),₹300000 - ₹900000,Private Sector,Medium,Stable
Dairy Process Analyst,Agriculture/Science,"Specialize in testing raw milk fat ratios and monitoring pasteurizer machine gauges to analyze, design, and optimize systems while collaborating with cross-functional teams.",Dairy Science;Microbiology Testing;Pasteurization Systems;Food Safety (HACCP);Quality Audits,Undergraduate (B.Sc Dairy Tech),₹300000 - ₹850000,Private Sector,Medium,Stable
Food Safety Auditor,Agriculture/Science,"Specialize in checking factory meat processing hygiene lines and reviewing safety logs to analyze, design, and optimize systems while collaborating with cross-functional teams.",Food Safety (HACCP);ISO Standards;Quality Audits;Microbiology Basics;Report Writing,Undergraduate (B.Sc Food Tech),₹350000 - ₹1000000,Government Sector,Medium,Stable
Plant Pathology Analyst,Agriculture/Science,"Specialize in looking at leaf rust fungus spores under microscopes to design crop cures to analyze, design, and optimize systems while collaborating with cross-functional teams.",Mycology;Plant Diagnosis;Microscopy;Pesticides Chemistry;Biotech Basics,Undergraduate (B.Sc Agriculture),₹300000 - ₹850000,Private Sector,Medium,Stable
